9.971	52.3
9.696	49.9
9.588	50.9
9.103	46.6
8.455	38.3
7.857	30.9
7.348	26.4
7.122	23.2
7.199	24.6
7.377	26.6
7.572	26.1
7.789	30.5
7.735	29.9
7.523	25.9
7.39	25.4
7.535	27.3
7.859	29.6
8.151	31.9
8.408	37.6
8.552	37.7
8.593	37.2
8.549	36.2
8.467	36.1
8.345	34.3
8.269	36.4
8.314	36.1
8.398	38.8
8.498	39.1
8.592	41.5
8.664	41.9
8.761	40.3
8.834	40.8
8.896	45
8.927	42.3
8.974	41.1
8.968	43.8
8.905	45.8
8.79	39.4
8.592	40.8
8.399	38.9
8.263	35.1
8.125	34.3
8.023	32.1
7.813	29.6
7.45	25.7
7.128	23.6
6.92	23.1
6.704	19.6
6.427	17.6
6.207	16.2
6.043	15.4
5.803	12.9
5.498	12.1
5.189	9.1
4.942	8.3
4.762	7.1
4.661	6.9
4.642	6.2
4.703	6.9
4.875	6.9
5.104	8.9
5.287	9.3
5.425	9.9
5.536	10.4
5.556	11.6
5.483	10.7
5.3	10.1
5.096	8.9
4.946	8.3
4.81	7.3
4.566	6.6
4.867	8.1
5.072	8.7
5.416	11
5.718	12.9
6.021	16.2
6.338	18.1
6.286	18.6
6.358	19.8
6.28	16.6
6.269	14.6
6.523	16.3
6.42	16.2
6.056	13.3
6.087	13.4
6.235	16.1
6.613	19.1
6.977	19.6
7.238	23.7
7.149	21.1
6.643	18.5
6.35	16.8
6.104	15.5
5.813	12.9
5.636	10.9
5.946	12.2
6.504	16.3
6.789	18.7
6.666	17.8
6.389	16.2
6.041	12.8
5.65	11.9
5.624	13.4
5.368	10.7
5.005	10
4.595	8.1
4.328	5.3
4.103	5
3.862	4.2
3.622	2.4
3.514	1.6
3.406	1.8
3.294	1.4
3.222	1.2
3.1	0.9
2.899	0.7
2.597	0.3
2.328	0
2.095	0
1.83	0
1.678	0
1.591	0
1.534	0
1.445	0
1.307	0
1.197	0
1.124	0
1.197	0
1.361	0
1.525	0
1.684	0
1.813	0
1.868	0
1.867	0
1.913	0
2.007	0
2.14	0
2.296	0
2.491	0
2.678	0
2.824	0
